archetype,scenario,direction,mean_misting_hours_h,mean_water_use_L_per_module,mean_load_energy_Wh,mean_autonomy_ratio
Hot–Dry Inland,Baseline,baseline,501.9047619047619,30151.799450549453,67299.67742673993,1.5472083995963668
Hot–Dry Inland,PVarea_2m2,2 m²,501.9047619047619,30151.799450549453,67299.67742673993,3.0944167991927336
Hot–Dry Inland,PVarea_3m2,3 m²,501.9047619047619,30151.799450549453,67299.67742673993,4.6416251987891
Humid Black Sea,Baseline,baseline,11.428571428571429,465.18049450549455,2509.6974587912086,39.67511839123059
Humid Black Sea,PVarea_2m2,2 m²,11.428571428571429,465.18049450549455,2509.6974587912086,79.35023678246118
Humid Black Sea,PVarea_3m2,3 m²,11.428571428571429,465.18049450549455,2509.6974587912086,119.02535517369178
Humid Mediterranean Coastal,Baseline,baseline,186.0,7120.340680473372,17422.043084319528,15.285728276563542
Humid Mediterranean Coastal,PVarea_2m2,2 m²,186.0,7120.340680473372,17422.043084319528,30.571456553127085
Humid Mediterranean Coastal,PVarea_3m2,3 m²,186.0,7120.340680473372,17422.043084319528,45.85718482969063
Semi-Arid Plateau,Baseline,baseline,117.21212121212122,5047.1524475524475,12690.173659673661,11.607983046467881
Semi-Arid Plateau,PVarea_2m2,2 m²,117.21212121212122,5047.1524475524475,12690.173659673661,23.215966092935762
Semi-Arid Plateau,PVarea_3m2,3 m²,117.21212121212122,5047.1524475524475,12690.173659673661,34.823949139403645
Temperate / Windy Coastal,Baseline,baseline,157.76923076923077,5927.808284023669,14768.215976331361,19.89071183419621
Temperate / Windy Coastal,PVarea_2m2,2 m²,157.76923076923077,5927.808284023669,14768.215976331361,39.78142366839242
Temperate / Windy Coastal,PVarea_3m2,3 m²,157.76923076923077,5927.808284023669,14768.215976331361,59.672135502588624
Temperate Humid Transitional,Baseline,baseline,62.82608695652174,2481.3328595317726,7018.399979096989,25.49328262293195
Temperate Humid Transitional,PVarea_2m2,2 m²,62.82608695652174,2481.3328595317726,7018.399979096989,50.9865652458639
Temperate Humid Transitional,PVarea_3m2,3 m²,62.82608695652174,2481.3328595317726,7018.399979096989,76.47984786879584
