city,epw_file,latitude,longitude,altitude_m,summer_mean_Ta_C,summer_p95_Ta_C,summer_mean_RH_pct,summer_mean_wind_ms,summer_mean_GHI_Wm2,summer_precip_metric,summer_precip_metric_type,summer_mist_hours_h,summer_water_use_L_per_module,summer_pv_energy_Wh_per_m2pv,summer_load_energy_Wh_per_module,summer_autonomy_ratio,battery_usable_kWh,battery_full_pump_hours_h,cluster,archetype
Adana-Incirlik.AB,TUR_AA_Adana-Incirlik.AB.173500_TMYx.2009-2023.epw,37.001,35.418,72.5,32.875543478260866,36.324999999999996,47.12771739130435,5.07663043478261,652.3967391304348,15.7,summer_sum_liquid_precipitation_depth,529.0,19799.05384615385,87491.79615305585,45894.028846153844,1.9063873526193618,1.0,4.0,5,Temperate / Windy Coastal
Adapazari,TUR_SK_Adapazari.170690_TMYx.2009-2023.epw,40.783,30.417,30.0,28.19578804347826,34.15,57.97690217391305,2.2510869565217395,619.664402173913,89.70000000000002,summer_sum_liquid_precipitation_depth,91.0,3592.7711538461535,83910.83464844972,9502.939903846152,8.829986877480751,1.0,4.0,2,Temperate Humid Transitional
Adiyaman,TUR_AD_Adiyaman.172650_TMYx.2009-2023.epw,37.75,38.283,672.0,35.05380434782609,40.3,20.883152173913043,1.3914402173913043,708.7880434782609,6.1,summer_sum_liquid_precipitation_depth,579.0,38733.5076923077,91005.72195330208,85640.80769230769,1.0626443678610504,1.0,4.0,3,Hot–Dry Inland
Agri,TUR_AG_Agri.170990_TMYx.2009-2023.epw,39.733,43.05,1632.0,26.819021739130434,32.425,38.06114130434783,2.5216032608695653,682.7010869565217,86.9,summer_sum_liquid_precipitation_depth,68.0,2354.2384615384617,89240.26614449108,6784.663461538462,13.15323400348222,1.0,4.0,0,Semi-Arid Plateau
Aksaray,TUR_AK_Aksaray.171920_TMYx.2009-2023.epw,38.37055,33.99861,961.0,28.13029891304348,34.525,26.47961956521739,2.4086956521739133,698.9388586956521,16.500000000000004,summer_sum_liquid_precipitation_depth,101.0,4752.392307692307,94417.05291309673,11978.817307692309,7.882001243350289,1.0,4.0,0,Semi-Arid Plateau
Aksehir,TUR_KO_Aksehir.172390_TMYx.2009-2023.epw,38.36889,31.42972,1002.0,27.308152173913044,34.0,33.869565217391305,1.5722826086956523,666.6032608695652,47.199999999999996,summer_sum_liquid_precipitation_depth,101.0,4328.059615384616,89435.86769370624,11094.790865384617,8.061068367925998,1.0,4.0,0,Semi-Arid Plateau
Amasya,TUR_AM_Amasya.170850_TMYx.2009-2023.epw,40.65,35.85,412.0,28.950135869565216,36.425,42.36141304347826,2.4017663043478263,579.0135869565217,47.9,summer_sum_liquid_precipitation_depth,195.0,8935.840384615385,78502.96684394719,21258.334134615383,3.692808963620493,1.0,4.0,2,Temperate Humid Transitional
Ankara-Esenboga.AP,TUR_AN_Ankara-Esenboga.AP.171280_TMYx.2009-2023.epw,40.128,32.995,952.5,26.89782608695652,33.125,30.380434782608695,3.8266304347826092,645.7255434782609,33.300000000000004,summer_sum_liquid_precipitation_depth,88.0,3537.628846153846,88444.8288810821,9370.060096153848,9.439088754338542,1.0,4.0,0,Semi-Arid Plateau
Ankara-Etimesgut.AP,TUR_AN_Ankara-Etimesgut.AP.171290_TMYx.2009-2023.epw,39.95,32.689,808.6,28.50733695652174,35.0,29.4375,3.580434782608697,660.0067934782609,18.8,summer_sum_liquid_precipitation_depth,177.0,7974.969230769231,89655.817470364,19148.51923076923,4.682127969785701,1.0,4.0,0,Semi-Arid Plateau
Antalya-Bolge,TUR_AL_Antalya-Bolge.173020_TMYx.2009-2023.epw,36.885,30.6829,47.0,30.529483695652175,36.725,44.46195652173913,2.590353260869566,702.0407608695652,20.900000000000002,summer_sum_liquid_precipitation_depth,214.0,10554.773076923077,92553.57113753956,24745.110576923078,3.7402771286806713,1.0,4.0,4,Humid Mediterranean Coastal
