archetype,scenario,parameter,direction,n_cities,mean_misting_hours_h,mean_water_use_L_per_module,mean_pv_energy_Wh,mean_load_energy_Wh,mean_autonomy_ratio,baseline_misting_hours_h,baseline_water_use_L_per_module,baseline_load_energy_Wh,baseline_autonomy_ratio,pct_change_misting_hours,pct_change_water_use,pct_change_load_energy,pct_change_autonomy
Hot–Dry Inland,Baseline,Baseline,baseline,21,501.9047619047619,30151.799450549453,92909.82031972348,67299.67742673993,1.5472083995963668,501.9047619047619,30151.799450549453,67299.67742673993,1.5472083995963668,0.0,0.0,0.0,0.0
Hot–Dry Inland,Flow_minus10pct,Water flow rate,-10%,21,501.9047619047619,27136.619505494506,92909.82031972348,67299.67742673993,1.5472083995963668,501.9047619047619,30151.799450549453,67299.67742673993,1.5472083995963668,0.0,-10.000000000000007,0.0,0.0
Hot–Dry Inland,Flow_plus10pct,Water flow rate,+10%,21,501.9047619047619,33166.979395604394,92909.82031972348,67299.67742673993,1.5472083995963668,501.9047619047619,30151.799450549453,67299.67742673993,1.5472083995963668,0.0,9.999999999999984,0.0,0.0
Hot–Dry Inland,Gmin_minus10pct,Gmin,-10%,21,502.9047619047619,30205.925549450552,92909.82031972348,67418.44013278389,1.5449062623401477,501.9047619047619,30151.799450549453,67299.67742673993,1.5472083995963668,0.19924098671726753,0.17951200222682745,0.17646846253198809,-0.1487929652411182
Hot–Dry Inland,Gmin_plus10pct,Gmin,+10%,21,499.6666666666667,30041.30824175824,92909.82031972348,67056.05883699634,1.5525815240233338,501.9047619047619,30151.799450549453,67299.67742673993,1.5472083995963668,-0.4459203036053136,-0.36644980002743777,-0.3619907242628141,0.34727864897636
Hot–Dry Inland,PVarea_2m2,PV area design,2 m²,21,501.9047619047619,30151.799450549453,185819.64063944697,67299.67742673993,3.0944167991927336,501.9047619047619,30151.799450549453,67299.67742673993,1.5472083995963668,0.0,0.0,0.0,100.00000000000001
Hot–Dry Inland,PVarea_3m2,PV area design,3 m²,21,501.9047619047619,30151.799450549453,278729.4609591705,67299.67742673993,4.6416251987891,501.9047619047619,30151.799450549453,67299.67742673993,1.5472083995963668,0.0,0.0,0.0,199.99999999999997
Hot–Dry Inland,PVarea_minus10pct,PV area,-10%,21,501.9047619047619,30151.799450549453,83618.83828775113,67299.67742673993,1.3924875596367299,501.9047619047619,30151.799450549453,67299.67742673993,1.5472083995963668,0.0,0.0,0.0,-10.000000000000016
Hot–Dry Inland,PVarea_plus10pct,PV area,+10%,21,501.9047619047619,30151.799450549453,102200.80235169583,67299.67742673993,1.7019292395560033,501.9047619047619,30151.799450549453,67299.67742673993,1.5472083995963668,0.0,0.0,0.0,9.999999999999986
Hot–Dry Inland,Pump_minus10pct,Pump power,-10%,21,501.9047619047619,30151.799450549453,92909.82031972348,61018.052541208795,1.7047766689484671,501.9047619047619,30151.799450549453,67299.67742673993,1.5472083995963668,0.0,0.0,-9.33381128367085,10.184036577955915
