city,archetype,scenario,parameter,direction,T_SET,RH_MAX,G_MIN,WATER_FLOW_LPM,PUMP_POWER_W,PV_AREA_M2,misting_hours_h,water_use_L_per_module,pv_energy_Wh_scaled,load_energy_Wh_per_module,autonomy_ratio
Adana-Incirlik.AB,Temperate / Windy Coastal,Baseline,Baseline,baseline,32.0,65.0,200.0,2.0,250.0,1.0,529.0,19799.05384615385,87491.79615305585,45894.028846153844,1.9063873526193618
Adana-Incirlik.AB,Temperate / Windy Coastal,Tset_minus10pct,Tset,-10%,28.8,65.0,200.0,2.0,250.0,1.0,690.0,30600.899999999998,87491.79615305585,69363.875,1.2613452773948377
Adana-Incirlik.AB,Temperate / Windy Coastal,Tset_plus10pct,Tset,+10%,35.2,65.0,200.0,2.0,250.0,1.0,88.0,3309.4096153846144,87491.79615305585,8894.603365384613,9.836503389634013
Adana-Incirlik.AB,Temperate / Windy Coastal,RHmax_minus10pct,RHmax,-10%,32.0,58.5,200.0,2.0,250.0,1.0,499.0,18074.60576923077,87491.79615305585,42121.42868589744,2.0771326824046863
Adana-Incirlik.AB,Temperate / Windy Coastal,RHmax_plus10pct,RHmax,+10%,32.0,71.5,200.0,2.0,250.0,1.0,530.0,20507.17395104895,87491.79615305585,47375.27906468532,1.8467816523802676
Adana-Incirlik.AB,Temperate / Windy Coastal,Gmin_minus10pct,Gmin,-10%,32.0,65.0,180.0,2.0,250.0,1.0,533.0,19939.407692307694,87491.79615305585,46210.432692307695,1.8933342766041652
Adana-Incirlik.AB,Temperate / Windy Coastal,Gmin_plus10pct,Gmin,+10%,32.0,65.0,220.00000000000003,2.0,250.0,1.0,521.0,19541.365384615387,87491.79615305585,45309.17788461539,1.9309950044969466
Adana-Incirlik.AB,Temperate / Windy Coastal,Flow_minus10pct,Water flow rate,-10%,32.0,65.0,200.0,1.8,250.0,1.0,529.0,17819.14846153846,87491.79615305585,45894.028846153844,1.9063873526193618
Adana-Incirlik.AB,Temperate / Windy Coastal,Flow_plus10pct,Water flow rate,+10%,32.0,65.0,200.0,2.2,250.0,1.0,529.0,21778.959230769233,87491.79615305585,45894.028846153844,1.9063873526193618
Adana-Incirlik.AB,Temperate / Windy Coastal,Pump_minus10pct,Pump power,-10%,32.0,65.0,200.0,2.0,225.0,1.0,529.0,19799.05384615385,87491.79615305585,41769.22596153847,2.0946472944846812
Adana-Incirlik.AB,Temperate / Windy Coastal,Pump_plus10pct,Pump power,+10%,32.0,65.0,200.0,2.0,275.0,1.0,529.0,19799.05384615385,87491.79615305585,50018.831730769234,1.7491771224083792
Adana-Incirlik.AB,Temperate / Windy Coastal,PVarea_minus10pct,PV area,-10%,32.0,65.0,200.0,2.0,250.0,0.9,529.0,19799.05384615385,78742.61653775028,45894.028846153844,1.715748617357426
Adana-Incirlik.AB,Temperate / Windy Coastal,PVarea_plus10pct,PV area,+10%,32.0,65.0,200.0,2.0,250.0,1.1,529.0,19799.05384615385,96240.97576836144,45894.028846153844,2.0970260878812983
Adana-Incirlik.AB,Temperate / Windy Coastal,PVarea_2m2,PV area design,2 m²,32.0,65.0,200.0,2.0,250.0,2.0,529.0,19799.05384615385,174983.5923061117,45894.028846153844,3.8127747052387235
Adana-Incirlik.AB,Temperate / Windy Coastal,PVarea_3m2,PV area design,3 m²,32.0,65.0,200.0,2.0,250.0,3.0,529.0,19799.05384615385,262475.38845916756,45894.028846153844,5.719162057858085
Adiyaman,Hot–Dry Inland,Baseline,Baseline,baseline,32.0,65.0,200.0,2.0,250.0,1.0,579.0,38733.5076923077,91005.72195330208,85640.80769230769,1.0626443678610504
Adiyaman,Hot–Dry Inland,Tset_minus10pct,Tset,-10%,28.8,65.0,200.0,2.0,250.0,1.0,674.0,53192.05384615385,91005.72195330208,116332.77884615384,0.7822878715349357
Adiyaman,Hot–Dry Inland,Tset_plus10pct,Tset,+10%,35.2,65.0,200.0,2.0,250.0,1.0,408.0,21281.57307692307,91005.72195330208,48256.61057692306,1.885870575353301
Adiyaman,Hot–Dry Inland,RHmax_minus10pct,RHmax,-10%,32.0,58.5,200.0,2.0,250.0,1.0,579.0,37821.85576923077,91005.72195330208,83741.53285256412,1.086745356256224
Adiyaman,Hot–Dry Inland,RHmax_plus10pct,RHmax,+10%,32.0,71.5,200.0,2.0,250.0,1.0,579.0,39479.40472027972,91005.72195330208,87194.75983391609,1.0437063205018846
Adiyaman,Hot–Dry Inland,Gmin_minus10pct,Gmin,-10%,32.0,65.0,180.0,2.0,250.0,1.0,581.0,38824.02115384616,91005.72195330208,85841.37740384616,1.0601614827912178
Adiyaman,Hot–Dry Inland,Gmin_plus10pct,Gmin,+10%,32.0,65.0,220.00000000000003,2.0,250.0,1.0,573.0,38430.450000000004,91005.72195330208,84973.4375,1.070990236840802
Adiyaman,Hot–Dry Inland,Flow_minus10pct,Water flow rate,-10%,32.0,65.0,200.0,1.8,250.0,1.0,579.0,34860.156923076924,91005.72195330208,85640.80769230769,1.0626443678610504
Adiyaman,Hot–Dry Inland,Flow_plus10pct,Water flow rate,+10%,32.0,65.0,200.0,2.2,250.0,1.0,579.0,42606.85846153846,91005.72195330208,85640.80769230769,1.0626443678610504
Adiyaman,Hot–Dry Inland,Pump_minus10pct,Pump power,-10%,32.0,65.0,200.0,2.0,225.0,1.0,579.0,38733.5076923077,91005.72195330208,77571.32692307694,1.1731876398549592
Adiyaman,Hot–Dry Inland,Pump_plus10pct,Pump power,+10%,32.0,65.0,200.0,2.0,275.0,1.0,579.0,38733.5076923077,91005.72195330208,93710.28846153847,0.9711390653829177
Adiyaman,Hot–Dry Inland,PVarea_minus10pct,PV area,-10%,32.0,65.0,200.0,2.0,250.0,0.9,579.0,38733.5076923077,81905.14975797187,85640.80769230769,0.9563799310749452
Adiyaman,Hot–Dry Inland,PVarea_plus10pct,PV area,+10%,32.0,65.0,200.0,2.0,250.0,1.1,579.0,38733.5076923077,100106.2941486323,85640.80769230769,1.1689088046471554
Adiyaman,Hot–Dry Inland,PVarea_2m2,PV area design,2 m²,32.0,65.0,200.0,2.0,250.0,2.0,579.0,38733.5076923077,182011.44390660417,85640.80769230769,2.125288735722101
Adiyaman,Hot–Dry Inland,PVarea_3m2,PV area design,3 m²,32.0,65.0,200.0,2.0,250.0,3.0,579.0,38733.5076923077,273017.16585990624,85640.80769230769,3.187933103583151
Agri,Semi-Arid Plateau,Baseline,Baseline,baseline,32.0,65.0,200.0,2.0,250.0,1.0,68.0,2354.2384615384617,89240.26614449108,6784.663461538462,13.15323400348222
